"Batches", "period = 10", "period = 25", "period = 50", "period = 75", "period = 100"
1,0.944,0.952,0.952,0.952,0.952
2,0.936,0.952,0.964,0.952,0.964
3,0.948,0.964,0.972,0.956,0.96
4,0.98,0.98,0.976,0.98,0.976
5,0.912,0.944,0.948,0.952,0.864
6,0.956,0.984,0.984,0.984,0.968
7,0.94,0.968,0.964,0.964,0.956
8,0.98,0.976,0.988,0.98,0.98
9,0.964,0.972,0.972,0.948,0.984
10,0.972,0.98,0.976,0.976,0.976
11,0.976,0.988,0.98,0.988,0.992
12,0.96,0.96,0.956,0.968,0.968
13,0.936,0.968,0.968,0.96,0.956
14,0.932,0.944,0.964,0.964,0.964
15,0.92,0.968,0.968,0.972,0.968
16,0.964,0.964,0.98,0.976,0.976
17,0.972,0.964,0.964,0.976,0.972
18,0.972,0.968,0.976,0.98,0.992
19,0.964,0.736,0.968,0.972,0.976
20,0.904,0.7,0.7,0.984,0.976
21,0.984,0.964,0.964,0.984,0.988
22,0.956,0.956,0.952,0.972,0.972
23,0.924,0.94,0.98,0.988,0.988
24,0.832,0.916,0.624,0.988,0.96
25,0.892,0.94,0.948,0.98,0.976
26,0.972,0.98,0.984,0.992,0.992
27,0.956,0.956,0.956,0.956,0.972
28,0.972,0.976,0.972,0.968,0.968
29,0.952,0.94,0.952,0.96,0.968
30,0.972,0.976,0.968,0.972,0.972
31,0.948,0.948,0.96,0.972,0.96
32,0.892,0.936,0.908,0.956,0.944
33,0.944,0.948,0.952,0.976,0.98
34,0.916,0.908,0.932,0.956,0.96
35,0.968,0.976,0.976,0.976,0.98
36,0.968,0.988,0.988,0.984,0.984
37,0.92,0.956,0.956,0.976,0.976
38,0.968,0.968,0.972,0.968,0.972
39,0.956,0.952,0.968,0.972,0.976
40,0.976,0.964,0.98,0.98,0.98
41,0.98,0.984,0.98,0.98,0.988
42,0.968,0.972,0.968,0.972,0.968
43,0.904,0.98,0.984,0.984,0.984
44,0.944,0.976,0.968,0.968,0.976
45,0.96,0.964,0.976,0.976,0.98
46,0.972,0.972,0.976,0.976,0.976
47,0.948,0.964,0.976,0.98,0.976
48,0.964,0.968,0.964,0.96,0.964
49,0.692,0.988,0.984,0.992,0.992
50,0.98,0.988,0.992,0.992,0.992
51,0.936,0.928,0.924,0.912,0.912
52,0.628,0.956,0.94,0.956,0.932
53,0.6,0.928,0.936,0.964,0.952
54,0.972,0.952,0.956,0.984,0.976
55,0.948,0.936,0.936,0.948,0.94
56,0.944,0.968,0.964,0.964,0.952
57,0.956,0.964,0.96,0.964,0.96
58,0.956,0.984,0.968,0.972,0.976
59,0.912,0.952,0.944,0.948,0.948
60,0.96,0.98,0.976,0.98,0.976
61,0.856,0.968,0.948,0.956,0.948
62,0.94,0.98,0.976,0.976,0.976
63,0.864,0.94,0.936,0.94,0.936
64,0.96,0.96,0.96,0.96,0.96
65,0.932,0.944,0.944,0.944,0.944
66,0.964,0.968,0.956,0.96,0.96
67,0.96,0.956,0.956,0.956,0.956
68,0.976,0.972,0.972,0.972,0.972
69,0.972,0.976,0.972,0.976,0.972
70,0.972,0.964,0.964,0.964,0.964
71,0.584,0.964,0.964,0.964,0.964
72,0.944,0.968,0.968,0.968,0.968
73,0.952,0.976,0.972,0.972,0.972
74,0.96,0.964,0.972,0.964,0.964
75,0.548,0.908,0.908,0.928,0.952
76,0.956,0.992,0.996,0.988,0.98
77,0.956,0.984,0.988,0.98,0.988
78,0.976,0.984,0.988,0.988,0.98
79,0.892,0.98,0.972,0.976,0.98
80,0.896,0.936,0.932,0.932,0.932
81,0.972,0.964,0.96,0.964,0.964
82,0.976,0.976,0.956,0.972,0.968
83,0.944,0.984,0.972,0.98,0.98
84,0.876,0.952,0.956,0.952,0.956
85,0.976,0.968,0.968,0.968,0.968
86,0.88,0.98,0.976,0.976,0.976
87,0.92,0.988,0.988,0.952,0.992
88,0.968,0.992,0.992,0.988,0.992
89,0.984,0.98,0.98,0.984,0.984
90,0.968,0.976,0.976,0.972,0.972
91,0.984,0.98,0.984,0.98,0.98
92,0.968,0.968,0.964,0.964,0.964
93,0.944,0.98,0.98,0.98,0.976
94,0.98,0.984,0.976,0.984,0.976
95,0.972,0.98,0.98,0.976,0.984
96,0.944,0.964,0.964,0.964,0.964
97,0.972,0.968,0.98,0.968,0.972
98,0.856,0.936,0.936,0.976,0.94
99,0.964,0.988,0.992,0.988,0.988
100,0.956,0.976,0.968,0.976,0.968
101,0.88,0.916,0.892,0.908,0.892
102,0.944,0.956,0.912,0.94,0.912
103,0.976,0.996,0.952,0.996,0.952
104,0.968,0.948,0.98,0.976,0.98
105,0.948,0.976,0.972,0.98,0.972
106,0.964,0.98,0.984,0.988,0.984
107,0.98,0.972,0.984,0.976,0.984
108,0.972,0.98,0.992,0.98,0.992
109,0.968,0.972,0.968,0.976,0.968
110,0.984,0.984,0.992,0.988,0.992
111,0.988,0.988,0.996,0.984,0.996
112,0.996,0.988,0.996,0.996,0.996
113,0.976,0.992,1.0,0.992,1.0
114,0.952,0.968,0.992,0.992,0.992
115,0.96,0.924,0.98,0.984,0.98
116,0.98,0.964,0.988,0.988,0.988
117,0.964,0.968,0.98,0.98,0.98
118,0.964,0.96,0.972,0.98,0.988
119,0.94,0.968,0.972,0.98,0.976
120,0.964,0.972,0.968,0.968,0.972
121,0.976,0.984,0.98,0.98,0.996
122,0.996,0.988,0.98,0.992,0.996
123,0.984,0.98,0.992,0.992,0.992
124,0.984,0.984,0.976,0.984,0.984
125,0.98,0.972,0.972,0.976,0.98
126,0.996,0.992,0.996,0.996,0.996
127,1.0,0.992,1.0,0.996,0.996
128,0.968,0.968,0.972,0.976,0.976
129,0.92,0.968,0.984,0.984,0.98
130,0.928,0.94,0.964,0.976,0.944
131,0.74,0.96,0.956,0.98,0.98
132,0.896,0.956,0.96,0.964,0.968
133,0.948,0.884,0.952,0.98,0.98
134,0.964,0.972,0.976,0.988,0.988
135,0.976,0.98,0.98,0.976,0.98
136,0.976,0.972,0.964,0.976,0.972
137,0.94,0.92,0.76,0.968,0.968
138,0.98,0.972,0.968,0.716,0.976
139,0.968,0.952,0.972,0.956,0.96
140,0.98,0.964,0.972,0.976,0.968
141,0.964,0.94,0.964,0.96,0.968
142,0.968,0.952,0.968,0.952,0.956
143,0.956,0.956,0.956,0.964,0.968
144,0.964,0.96,0.96,0.956,0.972
145,0.972,0.96,0.96,0.964,0.96
146,0.944,0.968,0.968,0.968,0.976
147,0.98,0.988,0.984,1.0,0.992
148,0.98,0.968,0.98,0.984,0.98
149,0.988,0.988,0.992,0.992,0.992
150,0.96,0.988,0.988,0.984,0.984
151,0.936,0.908,0.884,0.888,0.872
152,0.94,0.968,0.888,0.892,0.588
153,0.976,0.956,0.932,0.956,0.948
154,0.984,0.988,0.968,0.988,0.98
155,0.976,0.968,0.968,0.976,0.976
156,0.956,0.944,0.932,0.96,0.956
157,0.972,0.952,0.944,0.948,0.948
158,0.98,0.972,0.976,0.976,0.968
159,0.964,0.968,0.968,0.968,0.968
160,0.96,0.96,0.968,0.964,0.968
161,0.956,0.964,0.964,0.964,0.964
162,0.956,0.968,0.96,0.956,0.964
163,0.932,0.948,0.972,0.976,0.976
164,0.976,0.976,0.976,0.976,0.976
165,0.928,0.928,0.928,0.984,0.984
166,0.924,0.92,0.932,0.952,0.952
167,0.948,0.956,0.952,0.956,0.956
168,0.984,0.98,0.98,0.98,0.98
169,0.984,0.992,0.984,0.984,0.984
170,0.98,0.972,0.984,0.984,0.984
171,0.94,0.948,0.976,0.948,0.98
172,0.952,0.968,0.976,0.98,0.976
173,0.98,0.584,0.964,0.972,0.98
174,0.912,0.904,0.96,0.952,0.976
175,0.96,0.944,0.968,0.96,0.968
176,0.984,0.988,0.984,0.984,0.984
177,0.956,0.956,0.96,0.968,0.976
178,0.556,0.556,0.984,0.988,0.992
179,0.968,0.992,0.996,0.98,0.984
180,0.992,0.992,0.988,0.98,0.984
181,0.976,0.992,0.988,0.98,0.984
182,0.996,1.0,1.0,0.992,0.996
183,0.988,1.0,0.996,0.996,0.988
184,0.988,0.996,0.992,0.988,0.984
185,0.976,0.972,0.972,0.972,0.968
186,1.0,0.996,0.996,0.992,0.992
187,0.976,0.988,0.992,0.984,0.968
188,0.98,0.992,0.992,0.996,0.988
189,0.98,0.976,0.976,0.972,0.976
190,0.98,0.984,0.984,0.984,0.976
191,0.976,0.984,0.984,0.964,0.972
192,0.572,0.964,0.976,0.948,0.976
193,0.968,0.98,0.984,0.98,0.976
194,0.908,0.98,0.98,0.968,0.98
195,0.948,0.996,0.996,0.952,0.996
196,0.916,0.996,0.992,0.948,0.988
197,0.904,0.968,0.964,0.912,0.964
198,0.908,0.988,0.972,0.924,0.972
199,0.912,0.98,0.972,0.936,0.972
200,0.924,0.976,0.972,0.952,0.976
201,0.9416,0.9603,0.9647,0.96924,0.96974
